sistema;num_cicloe;calle_prin;calle_secu;colonia;alcaldia;latitud;longitud;sitio_de_e;estatus
Ecobici;440;Martin Mendalde;M. Lopez Cotilla;Acacias;Benito Juarez;19.361.699;-99.171.387;Arroyo;Instalada
Ecobici;441;Puente Xoco;Real de Mayorazgo;Xoco;Benito Juarez;19.361.213;-9.916.752;Arroyo;Instalada
Ecobici;442;Real de Mayorazgo;Avenida Mexico-Coyoacan;Xoco;Benito Juarez;19.359.863;-99.165.065;Arroyo;Instalada
Ecobici;443;Bruno Traven;Golondrinas;General Pedro Maria Anaya;Benito Juarez;19.359.583;-99.162.085;Arroyo;Instalada
Ecobici;444;General Manuel Rincon;Agustin Gutierrez;General Pedro Maria Anaya;Benito Juarez;19.359.475;-99.159.437;Arroyo;Instalada
Ecobici;447;Agustin Melgar;Zamora;Condesa;Cuauhtemoc;19.418.879;-99.176.854;Arroyo;Instalada
Ecobici;448;Doctor Andrade;Av. Arcos de Belen;Doctores;Cuauhtemoc;19.426.611;-9.914.447;Arroyo;Instalada
Ecobici;449;Acapulco;Puebla;Roma Norte;Cuauhtemoc;19.420.281;-99.174.392;Arroyo;Instalada
Ecobici;450;Ramos Arizpe;Av. Mexico Tenochtitlan;Tabacalera;Cuauhtemoc;19.438.228;-99.152.269;Arroyo;Instalada
Ecobici;451;Campos Eliseos;Goldsmith;Polanco;Miguel Hidalgo;19.428.847;-99.201.299;Arroyo;Instalada
Ecobici;452;Leibnitz;Av. Ejercito Nacional;Anzures;Miguel Hidalgo;19.435.867;-99.179.856;Arroyo;Instalada
Ecobici;453;Pedregal;Teapa;Lomas de Chapultepec Seccion IV/Lomas Virreyes;Miguel Hidalgo;19.424.842;-99.203.739;Arroyo;Instalada
Ecobici;454;Montes Urales;Monte Pelvoux;Lomas de Chapultepec Seccion IV/Lomas Virreyes;Miguel Hidalgo;19.425.905;-99.204.236;Arroyo;Instalada
Ecobici;455;Pedregal;Ferrocarril de Cuernavaca;Molino del Rey;Miguel Hidalgo;19.426.308;-992.033;Arroyo;Instalada
Ecobici;456;Alpes;Montes Escandinavos;Lomas de Chapultepec Seccion V;Miguel Hidalgo;19.427.517;-99.208.412;Arroyo;Instalada
Ecobici;457;Av. Prado Norte;Explanada;Lomas de Chapultepec Seccion V;Miguel Hidalgo;1.942.703;-99.212.845;Arroyo;Instalada
