Genero,Edad,Bici,Estacion salida,Estacion llegada,Duracion viaje en minutos
M,50.0,5255807,447,164,11.95
M,26.0,7461056,199,192-193,24.2
M,30.0,7492275,474,548,20.87
O,24.0,2898237,129,485,14.72
M,35.0,2016434,179,447,12.93
M,30.0,5796479,027,015,8.15
M,25.0,2033892,031,212,19.4
M,22.0,4531539,117,117,20.67
M,32.0,5429360,290,162,10.9
F,24.0,5568571,398,633,10.77
F,35.0,3786225,085,153,18.13
M,27.0,8602849,115,029,8.23
F,26.0,7666647,139,295,23.33
M,36.0,6690986,194,557,32.33
M,27.0,7856495,279,073,11.0
M,38.0,4461869,620,631,14.22
M,48.0,8822199,059,061,2.92
F,23.0,4328944,150,194,16.63
M,44.0,4908802,644,705,12.58
F,28.0,3080009,703,412,33.05
M,35.0,8912115,083,074,1.72
M,25.0,7489446,683,705,16.8
M,35.0,6028971,129,129,2.17
M,57.0,7569296,562,484,25.33
M,40.0,5841770,414,329,16.22
M,32.0,4288411,145,571,15.33
M,29.0,2362267,080,340,12.8
M,30.0,7213606,465,268-269,31.25
F,31.0,2342871,059,581,26.42
M,31.0,5867668,181,301,6.35
M,39.0,7083991,074,139,10.02
M,31.0,2835700,539,556,24.55
M,37.0,3208584,566,144,3.3
F,45.0,6681720,270,315,25.35
M,36.0,6596803,594,285,13.82
F,39.0,7849797,030,563,16.65
F,31.0,2451995,158-159,569,20.5
M,42.0,2526382,697,689,7.43
F,33.0,3823895,036,064,7.3
M,32.0,8786170,143,135,36.28
F,33.0,3128782,078,044,8.83
F,19.0,7253339,064,009,19.38
M,38.0,3378650,001,086,5.62
M,37.0,7564529,081,169,16.68
F,43.0,3136041,021,061,8.8
M,35.0,3300266,494,474,6.65
F,43.0,2385540,705,649,6.52
M,32.0,8465726,066,076,8.95
M,46.0,6168397,005,086,8.35
M,34.0,3468352,478,483,2.35
F,28.0,5921754,054,076,7.08
M,22.0,7897705,374,358,3.28
M,31.0,3649019,224,464,12.58
M,35.0,4877924,036,201,15.52
F,24.0,4490751,171,326,16.13
M,44.0,4045381,096,095,7.78
M,38.0,3913340,064,038,11.73
M,30.0,3184173,692,674,19.78
M,34.0,5429196,216,197,14.02
M,23.0,6168413,158-159,151,4.25
M,34.0,8109068,510,508,4.72
M,27.0,6683213,005,117,8.63
F,25.0,3832581,675,422,11.85
M,49.0,3302551,338,359,4.57
M,24.0,7164288,394,348,34.33
M,33.0,6484786,374,627,13.72
M,37.0,3140662,398,165,15.95
F,28.0,3271806,086,474,14.0
M,26.0,3201787,505,523,12.48
