Estacion,genero_x_mes,edad_x_mes,duraciones_x_mes,dias_x_mes,horas_x_mes,viajes_x_mes,retiros_x_mes,arribos_x_mes
572,"{'M': 1922.33, 'F': 607.66, 'O': 23.34}","{'<20': 15.5, '20-30': 869.5, '30-40': 1102.83, '40-50': 400.5, '50-60': 147.33, '60-70': 16.33, '70<': 1.33}","{'0-10': 912.17, '10-20': 908.0, '20-30': 422.5, '30-45': 267.17, '45+': 43.5}","{'Monday': 383.33, 'Tuesday': 372.5, 'Wednesday': 408.67, 'Thursday': 423.83, 'Friday': 425.0, 'Saturday': 313.17, 'Sunday': 226.83}","{0: 21.33, 1: 2.33, 2: 1.33, 3: 0.67, 4: 0.17, 5: 10.67, 6: 55.33, 7: 125.33, 8: 208.83, 9: 106.33, 10: 90.5, 11: 103.33, 12: 122.17, 13: 151.0, 14: 179.83, 15: 186.17, 16: 152.33, 17: 170.5, 18: 233.5, 19: 184.67, 20: 165.83, 21: 133.17, 22: 93.17, 23: 54.83}","{'2024-10': 2940, '2024-11': 2876, '2024-12': 2238, '2025-1': 2538, '2025-2': 2252, '2025-3': 2476}",5430.33,5787.0
573,"{'M': 1587.17, 'F': 734.66, 'O': 39.33}","{'<20': 38.83, '20-30': 890.5, '30-40': 823.33, '40-50': 384.17, '50-60': 215.17, '60-70': 9.0, '70<': 0.17}","{'0-10': 908.17, '10-20': 829.5, '20-30': 389.5, '30-45': 216.5, '45+': 17.5}","{'Monday': 345.33, 'Tuesday': 368.5, 'Wednesday': 381.0, 'Thursday': 376.17, 'Friday': 351.83, 'Saturday': 294.0, 'Sunday': 244.33}","{0: 24.33, 1: 1.0, 2: 0.0, 3: 0.17, 4: 0.0, 5: 44.67, 6: 88.0, 7: 140.17, 8: 152.0, 9: 62.83, 10: 66.17, 11: 85.33, 12: 84.33, 13: 113.67, 14: 124.0, 15: 142.17, 16: 153.67, 17: 153.67, 18: 230.0, 19: 244.0, 20: 168.67, 21: 125.5, 22: 94.0, 23: 62.83}","{'2024-10': 2638, '2024-11': 2599, '2024-12': 2151, '2025-1': 2245, '2025-2': 2241, '2025-3': 2293}",1333.83,1314.5
574,"{'M': 1147.16, 'F': 465.83, 'O': 43.33}","{'<20': 42.5, '20-30': 713.33, '30-40': 506.83, '40-50': 252.83, '50-60': 107.5, '60-70': 32.83, '70<': 0.5}","{'0-10': 621.83, '10-20': 609.0, '20-30': 248.83, '30-45': 159.33, '45+': 17.33}","{'Monday': 240.67, 'Tuesday': 267.83, 'Wednesday': 240.33, 'Thursday': 280.0, 'Friday': 262.17, 'Saturday': 206.17, 'Sunday': 159.17}","{0: 10.83, 1: 0.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 21.5, 6: 64.83, 7: 115.67, 8: 111.0, 9: 60.17, 10: 56.83, 11: 61.5, 12: 79.83, 13: 103.17, 14: 115.5, 15: 85.0, 16: 106.67, 17: 98.67, 18: 152.17, 19: 144.33, 20: 117.33, 21: 68.33, 22: 52.33, 23: 30.5}","{'2024-10': 1647, '2024-11': 1491, '2024-12': 1485, '2025-1': 1807, '2025-2': 1641, '2025-3': 1867}",2009.0,1865.83
575,"{'M': 3715.16, 'F': 1639.33, 'O': 168.5}","{'<20': 99.33, '20-30': 2390.67, '30-40': 1694.5, '40-50': 941.67, '50-60': 316.67, '60-70': 74.67, '70<': 5.5}","{'0-10': 2039.67, '10-20': 2203.5, '20-30': 829.0, '30-45': 404.67, '45+': 46.17}","{'Monday': 775.5, 'Tuesday': 841.0, 'Wednesday': 854.17, 'Thursday': 902.83, 'Friday': 838.33, 'Saturday': 765.0, 'Sunday': 546.17}","{0: 53.33, 1: 0.5, 2: 0.0, 3: 0.17, 4: 0.0, 5: 69.83, 6: 176.5, 7: 295.33, 8: 184.5, 9: 167.0, 10: 165.0, 11: 185.67, 12: 241.67, 13: 316.33, 14: 378.17, 15: 399.33, 16: 431.17, 17: 451.0, 18: 618.33, 19: 492.67, 20: 340.17, 21: 245.17, 22: 200.0, 23: 111.17}","{'2024-10': 5809, '2024-11': 5484, '2024-12': 4871, '2025-1': 5890, '2025-2': 5519, '2025-3': 5565}",2172.67,2047.17
576,"{'M': 4034.33, 'F': 1661.83, 'O': 114.0}","{'<20': 151.67, '20-30': 2074.33, '30-40': 2152.5, '40-50': 1042.17, '50-60': 279.83, '60-70': 98.5, '70<': 11.17}","{'0-10': 2361.67, '10-20': 2158.67, '20-30': 805.67, '30-45': 428.83, '45+': 55.33}","{'Monday': 883.67, 'Tuesday': 919.5, 'Wednesday': 865.33, 'Thursday': 929.83, 'Friday': 893.67, 'Saturday': 696.17, 'Sunday': 622.0}","{0: 28.0, 1: 2.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 26.5, 6: 208.83, 7: 292.33, 8: 237.0, 9: 187.5, 10: 205.83, 11: 274.33, 12: 345.5, 13: 425.33, 14: 468.83, 15: 520.83, 16: 516.83, 17: 458.0, 18: 497.17, 19: 404.67, 20: 299.5, 21: 204.17, 22: 132.67, 23: 74.33}","{'2024-10': 6589, '2024-11': 5989, '2024-12': 5266, '2025-1': 5862, '2025-2': 5339, '2025-3': 5816}",1500.0,1057.5
577,"{'M': 1635.84, 'F': 567.67, 'O': 61.0}","{'<20': 38.33, '20-30': 841.17, '30-40': 927.5, '40-50': 305.5, '50-60': 83.83, '60-70': 41.17, '70<': 27.0}","{'0-10': 1113.0, '10-20': 787.5, '20-30': 235.5, '30-45': 113.67, '45+': 14.83}","{'Monday': 370.33, 'Tuesday': 391.83, 'Wednesday': 401.83, 'Thursday': 416.5, 'Friday': 369.67, 'Saturday': 165.0, 'Sunday': 149.33}","{0: 14.17, 1: 0.67, 2: 0.0, 3: 0.0, 4: 0.0, 5: 18.83, 6: 195.0, 7: 240.5, 8: 342.33, 9: 238.17, 10: 84.17, 11: 69.67, 12: 69.33, 13: 94.0, 14: 114.33, 15: 101.83, 16: 86.33, 17: 89.5, 18: 122.5, 19: 91.67, 20: 86.5, 21: 92.67, 22: 65.83, 23: 46.5}","{'2024-10': 2528, '2024-11': 2403, '2024-12': 2062, '2025-1': 2224, '2025-2': 2327, '2025-3': 2043}",4790.0,5052.5
578,"{'M': 3297.34, 'F': 1426.17, 'O': 118.84}","{'<20': 126.0, '20-30': 1967.67, '30-40': 1871.0, '40-50': 593.67, '50-60': 259.67, '60-70': 17.5, '70<': 6.83}","{'0-10': 2060.0, '10-20': 1802.5, '20-30': 610.83, '30-45': 333.0, '45+': 36.0}","{'Monday': 758.33, 'Tuesday': 774.0, 'Wednesday': 760.0, 'Thursday': 798.67, 'Friday': 754.5, 'Saturday': 522.17, 'Sunday': 474.67}","{0: 22.33, 1: 0.5, 2: 0.0, 3: 0.0, 4: 0.0, 5: 47.0, 6: 247.0, 7: 334.83, 8: 413.5, 9: 227.5, 10: 137.33, 11: 179.83, 12: 182.33, 13: 258.67, 14: 307.17, 15: 282.5, 16: 292.17, 17: 286.0, 18: 404.5, 19: 393.17, 20: 336.17, 21: 291.5, 22: 127.67, 23: 70.67}","{'2024-10': 5622, '2024-11': 5213, '2024-12': 4421, '2025-1': 4667, '2025-2': 4406, '2025-3': 4725}",2001.17,1969.0
579,"{'M': 1942.67, 'F': 966.5, 'O': 101.0}","{'<20': 32.33, '20-30': 1053.0, '30-40': 1388.0, '40-50': 404.17, '50-60': 98.0, '60-70': 32.83, '70<': 1.83}","{'0-10': 1024.0, '10-20': 1158.33, '20-30': 530.17, '30-45': 270.83, '45+': 26.83}","{'Monday': 456.67, 'Tuesday': 458.67, 'Wednesday': 465.83, 'Thursday': 489.83, 'Friday': 465.33, 'Saturday': 339.5, 'Sunday': 334.33}","{0: 31.0, 1: 1.0, 2: 0.33, 3: 0.0, 4: 0.0, 5: 8.67, 6: 74.17, 7: 146.0, 8: 162.5, 9: 123.83, 10: 97.17, 11: 111.67, 12: 148.33, 13: 161.83, 14: 205.5, 15: 219.17, 16: 194.5, 17: 234.17, 18: 299.33, 19: 283.33, 20: 206.33, 21: 120.67, 22: 100.17, 23: 80.5}","{'2024-10': 3136, '2024-11': 3136, '2024-12': 2821, '2025-1': 3140, '2025-2': 2857, '2025-3': 2971}",3190.67,3082.17
580,"{'M': 1989.34, 'F': 948.83, 'O': 141.33}","{'<20': 41.5, '20-30': 1296.83, '30-40': 1031.17, '40-50': 340.17, '50-60': 302.67, '60-70': 67.17, '70<': 0.0}","{'0-10': 1214.83, '10-20': 1079.5, '20-30': 478.33, '30-45': 274.5, '45+': 32.33}","{'Monday': 454.33, 'Tuesday': 472.0, 'Wednesday': 460.33, 'Thursday': 474.17, 'Friday': 476.17, 'Saturday': 438.67, 'Sunday': 303.83}","{0: 16.67, 1: 0.67, 2: 0.0, 3: 0.0, 4: 0.0, 5: 28.0, 6: 118.83, 7: 175.0, 8: 168.5, 9: 94.0, 10: 121.33, 11: 142.33, 12: 164.67, 13: 165.5, 14: 184.17, 15: 229.5, 16: 252.67, 17: 252.5, 18: 297.5, 19: 245.67, 20: 175.5, 21: 139.67, 22: 69.5, 23: 37.33}","{'2024-10': 3233, '2024-11': 3229, '2024-12': 3062, '2025-1': 2931, '2025-2': 2950, '2025-3': 3072}",16566.17,25896.33
581,"{'M': 1129.5, 'F': 376.5, 'O': 30.83}","{'<20': 14.5, '20-30': 561.67, '30-40': 686.83, '40-50': 181.67, '50-60': 80.5, '60-70': 10.67, '70<': 1.0}","{'0-10': 403.0, '10-20': 538.5, '20-30': 381.0, '30-45': 186.33, '45+': 28.0}","{'Monday': 224.83, 'Tuesday': 258.33, 'Wednesday': 254.0, 'Thursday': 265.83, 'Friday': 236.83, 'Saturday': 171.67, 'Sunday': 125.33}","{0: 15.17, 1: 1.33, 2: 0.33, 3: 0.17, 4: 0.0, 5: 8.0, 6: 32.17, 7: 102.67, 8: 123.83, 9: 62.83, 10: 50.33, 11: 54.67, 12: 66.5, 13: 62.67, 14: 77.0, 15: 79.83, 16: 108.17, 17: 108.17, 18: 169.0, 19: 160.83, 20: 107.67, 21: 68.67, 22: 46.5, 23: 30.33}","{'2024-10': 1813, '2024-11': 1568, '2024-12': 1327, '2025-1': 1465, '2025-2': 1472, '2025-3': 1576}",1052.0,1137.17
582,"{'M': 2916.83, 'F': 964.66, 'O': 52.0}","{'<20': 58.33, '20-30': 1556.5, '30-40': 1356.83, '40-50': 658.83, '50-60': 217.83, '60-70': 81.17, '70<': 4.0}","{'0-10': 1648.67, '10-20': 1106.5, '20-30': 711.17, '30-45': 420.0, '45+': 47.17}","{'Monday': 589.83, 'Tuesday': 643.83, 'Wednesday': 643.0, 'Thursday': 677.33, 'Friday': 643.33, 'Saturday': 465.83, 'Sunday': 270.33}","{0: 21.0, 1: 0.5, 2: 0.17, 3: 0.0, 4: 0.0, 5: 10.33, 6: 82.33, 7: 220.0, 8: 335.67, 9: 175.33, 10: 148.0, 11: 164.0, 12: 175.67, 13: 231.5, 14: 248.5, 15: 270.5, 16: 287.0, 17: 318.0, 18: 438.67, 19: 338.5, 20: 215.0, 21: 132.0, 22: 72.17, 23: 48.67}","{'2024-10': 4269, '2024-11': 3991, '2024-12': 3723, '2025-1': 3954, '2025-2': 3779, '2025-3': 3885}",1175.17,932.33
583,"{'M': 1553.33, 'F': 504.34, 'O': 25.0}","{'<20': 38.83, '20-30': 618.0, '30-40': 908.83, '40-50': 383.83, '50-60': 120.0, '60-70': 12.0, '70<': 1.17}","{'0-10': 564.33, '10-20': 697.17, '20-30': 512.83, '30-45': 278.33, '45+': 30.0}","{'Monday': 309.67, 'Tuesday': 354.67, 'Wednesday': 353.33, 'Thursday': 366.0, 'Friday': 331.83, 'Saturday': 229.67, 'Sunday': 137.5}","{0: 17.0, 1: 1.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 18.5, 6: 71.83, 7: 110.67, 8: 108.17, 9: 90.83, 10: 75.17, 11: 95.5, 12: 98.33, 13: 116.0, 14: 130.83, 15: 142.67, 16: 163.0, 17: 163.67, 18: 209.67, 19: 171.83, 20: 140.83, 21: 73.67, 22: 47.17, 23: 36.17}","{'2024-10': 2243, '2024-11': 2120, '2024-12': 1816, '2025-1': 2166, '2025-2': 2017, '2025-3': 2134}",4900.5,4520.0
584,"{'M': 5090.0, 'F': 1804.67, 'O': 98.67}","{'<20': 105.33, '20-30': 2653.0, '30-40': 2781.67, '40-50': 996.83, '50-60': 330.17, '60-70': 98.5, '70<': 27.83}","{'0-10': 2853.67, '10-20': 2408.83, '20-30': 1070.33, '30-45': 605.67, '45+': 54.83}","{'Monday': 1067.0, 'Tuesday': 1096.67, 'Wednesday': 1102.83, 'Thursday': 1123.67, 'Friday': 1080.5, 'Saturday': 850.0, 'Sunday': 672.67}","{0: 42.0, 1: 1.5, 2: 0.0, 3: 0.0, 4: 0.0, 5: 49.33, 6: 203.17, 7: 353.67, 8: 433.83, 9: 264.83, 10: 210.5, 11: 259.17, 12: 287.17, 13: 344.33, 14: 445.83, 15: 545.17, 16: 572.0, 17: 536.0, 18: 724.33, 19: 661.33, 20: 487.83, 21: 289.83, 22: 178.5, 23: 103.0}","{'2024-10': 7620, '2024-11': 7230, '2024-12': 6657, '2025-1': 7028, '2025-2': 6603, '2025-3': 6822}",2067.17,1995.33
585,"{'M': 1609.84, 'F': 720.0, 'O': 23.67}","{'<20': 11.17, '20-30': 917.5, '30-40': 1047.33, '40-50': 244.83, '50-60': 103.0, '60-70': 27.17, '70<': 2.5}","{'0-10': 847.83, '10-20': 775.5, '20-30': 443.83, '30-45': 261.83, '45+': 24.5}","{'Monday': 344.5, 'Tuesday': 374.17, 'Wednesday': 376.33, 'Thursday': 409.0, 'Friday': 360.5, 'Saturday': 277.33, 'Sunday': 211.67}","{0: 22.83, 1: 0.83, 2: 0.0, 3: 0.0, 4: 0.0, 5: 10.5, 6: 56.67, 7: 147.5, 8: 121.33, 9: 77.5, 10: 82.5, 11: 91.83, 12: 94.83, 13: 107.83, 14: 128.17, 15: 159.33, 16: 138.83, 17: 181.33, 18: 261.83, 19: 254.33, 20: 162.33, 21: 124.67, 22: 76.0, 23: 52.5}","{'2024-10': 2791, '2024-11': 2343, '2024-12': 2253, '2025-1': 2286, '2025-2': 2181, '2025-3': 2267}",765.67,855.0
586,"{'M': 1652.33, 'F': 627.33, 'O': 37.0}","{'<20': 85.83, '20-30': 765.83, '30-40': 828.17, '40-50': 479.17, '50-60': 129.5, '60-70': 26.5, '70<': 1.67}","{'0-10': 861.33, '10-20': 734.83, '20-30': 419.67, '30-45': 263.33, '45+': 37.5}","{'Monday': 337.83, 'Tuesday': 380.17, 'Wednesday': 399.83, 'Thursday': 420.67, 'Friday': 407.0, 'Saturday': 253.0, 'Sunday': 118.17}","{0: 14.0, 1: 0.33, 2: 0.0, 3: 0.0, 4: 0.0, 5: 1.5, 6: 27.5, 7: 58.67, 8: 130.33, 9: 123.0, 10: 112.5, 11: 141.33, 12: 155.33, 13: 188.5, 14: 216.67, 15: 204.5, 16: 186.83, 17: 185.67, 18: 176.67, 19: 137.0, 20: 104.0, 21: 72.0, 22: 47.33, 23: 33.0}","{'2024-10': 2727, '2024-11': 2527, '2024-12': 2164, '2025-1': 2210, '2025-2': 2068, '2025-3': 2204}",3837.67,3759.17
587,"{'M': 1297.17, 'F': 402.67, 'O': 37.67}","{'<20': 15.33, '20-30': 490.17, '30-40': 817.67, '40-50': 264.33, '50-60': 129.33, '60-70': 18.67, '70<': 2.0}","{'0-10': 713.83, '10-20': 516.5, '20-30': 289.0, '30-45': 189.83, '45+': 28.33}","{'Monday': 237.33, 'Tuesday': 300.67, 'Wednesday': 276.5, 'Thursday': 313.33, 'Friday': 311.17, 'Saturday': 184.0, 'Sunday': 114.5}","{0: 9.83, 1: 0.5, 2: 0.0, 3: 0.0, 4: 0.0, 5: 1.83, 6: 45.67, 7: 86.83, 8: 159.17, 9: 87.17, 10: 84.67, 11: 84.17, 12: 100.0, 13: 107.83, 14: 118.0, 15: 132.67, 16: 121.33, 17: 117.83, 18: 127.67, 19: 107.5, 20: 96.67, 21: 73.33, 22: 49.17, 23: 25.67}","{'2024-10': 1645, '2024-11': 1695, '2024-12': 1686, '2025-1': 1865, '2025-2': 1867, '2025-3': 1667}",1600.0,1381.83
588,"{'M': 3550.5, 'F': 1392.33, 'O': 134.33}","{'<20': 94.0, '20-30': 1820.33, '30-40': 1763.33, '40-50': 968.67, '50-60': 355.5, '60-70': 66.33, '70<': 9.0}","{'0-10': 2223.5, '10-20': 1529.33, '20-30': 803.33, '30-45': 464.33, '45+': 56.67}","{'Monday': 745.67, 'Tuesday': 823.17, 'Wednesday': 830.67, 'Thursday': 855.33, 'Friday': 798.17, 'Saturday': 583.5, 'Sunday': 440.67}","{0: 35.67, 1: 0.83, 2: 0.17, 3: 0.0, 4: 0.0, 5: 14.33, 6: 83.33, 7: 234.83, 8: 315.67, 9: 250.83, 10: 193.67, 11: 194.67, 12: 231.17, 13: 283.0, 14: 301.67, 15: 316.17, 16: 311.0, 17: 363.5, 18: 531.67, 19: 474.33, 20: 359.0, 21: 264.0, 22: 213.0, 23: 104.67}","{'2024-10': 5281, '2024-11': 5285, '2024-12': 4609, '2025-1': 5230, '2025-2': 4852, '2025-3': 5206}",5475.17,5437.0
589,"{'M': 1652.16, 'F': 649.67, 'O': 41.0}","{'<20': 63.0, '20-30': 864.17, '30-40': 848.33, '40-50': 380.33, '50-60': 156.0, '60-70': 24.17, '70<': 6.83}","{'0-10': 787.5, '10-20': 736.5, '20-30': 514.33, '30-45': 282.0, '45+': 22.5}","{'Monday': 360.0, 'Tuesday': 378.5, 'Wednesday': 381.17, 'Thursday': 407.5, 'Friday': 363.67, 'Saturday': 268.67, 'Sunday': 183.33}","{0: 15.83, 1: 0.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 6.83, 6: 34.67, 7: 105.83, 8: 128.83, 9: 92.83, 10: 82.17, 11: 95.67, 12: 105.33, 13: 133.67, 14: 134.5, 15: 165.5, 16: 166.33, 17: 207.67, 18: 254.33, 19: 194.83, 20: 168.0, 21: 114.33, 22: 81.0, 23: 54.5}","{'2024-10': 2741, '2024-11': 2350, '2024-12': 1955, '2025-1': 2271, '2025-2': 2400, '2025-3': 2340}",1111.0,1306.67
590,"{'M': 2455.17, 'F': 1181.17, 'O': 83.17}","{'<20': 42.67, '20-30': 1299.17, '30-40': 1469.67, '40-50': 578.83, '50-60': 276.33, '60-70': 50.5, '70<': 2.33}","{'0-10': 1378.0, '10-20': 1276.83, '20-30': 639.67, '30-45': 386.67, '45+': 38.33}","{'Monday': 543.5, 'Tuesday': 584.83, 'Wednesday': 575.67, 'Thursday': 607.0, 'Friday': 591.83, 'Saturday': 471.83, 'Sunday': 344.83}","{0: 22.67, 1: 1.0, 2: 0.17, 3: 0.0, 4: 0.0, 5: 23.33, 6: 73.83, 7: 198.83, 8: 215.0, 9: 150.17, 10: 150.0, 11: 156.5, 12: 160.83, 13: 189.5, 14: 247.67, 15: 276.0, 16: 255.17, 17: 278.17, 18: 334.0, 19: 315.17, 20: 275.83, 21: 205.33, 22: 126.0, 23: 64.33}","{'2024-10': 4016, '2024-11': 3726, '2024-12': 3315, '2025-1': 3751, '2025-2': 3649, '2025-3': 3860}",1849.5,1749.0
591,"{'M': 2774.84, 'F': 1122.83, 'O': 79.34}","{'<20': 49.0, '20-30': 1471.83, '30-40': 1478.0, '40-50': 550.83, '50-60': 243.5, '60-70': 152.5, '70<': 31.33}","{'0-10': 2059.83, '10-20': 1009.0, '20-30': 523.67, '30-45': 354.0, '45+': 30.5}","{'Monday': 575.5, 'Tuesday': 589.67, 'Wednesday': 586.83, 'Thursday': 620.17, 'Friday': 606.5, 'Saturday': 563.67, 'Sunday': 434.67}","{0: 31.83, 1: 2.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 28.83, 6: 84.17, 7: 188.83, 8: 180.67, 9: 169.33, 10: 164.33, 11: 178.67, 12: 218.67, 13: 223.17, 14: 277.83, 15: 267.0, 16: 272.83, 17: 286.0, 18: 384.0, 19: 332.67, 20: 301.0, 21: 181.83, 22: 126.33, 23: 77.0}","{'2024-10': 4079, '2024-11': 4112, '2024-12': 3740, '2025-1': 3962, '2025-2': 3787, '2025-3': 4182}",2563.83,2422.83
592,"{'M': 2365.0, 'F': 815.5, 'O': 80.83}","{'<20': 60.67, '20-30': 1038.67, '30-40': 1257.33, '40-50': 607.83, '50-60': 216.33, '60-70': 76.17, '70<': 4.33}","{'0-10': 1575.0, '10-20': 890.83, '20-30': 520.67, '30-45': 248.5, '45+': 26.33}","{'Monday': 472.17, 'Tuesday': 505.83, 'Wednesday': 510.0, 'Thursday': 523.0, 'Friday': 503.0, 'Saturday': 408.17, 'Sunday': 339.17}","{0: 27.33, 1: 0.67, 2: 0.0, 3: 0.0, 4: 0.0, 5: 22.0, 6: 88.5, 7: 162.5, 8: 199.83, 9: 190.5, 10: 141.5, 11: 145.0, 12: 164.5, 13: 175.33, 14: 207.5, 15: 241.83, 16: 214.0, 17: 228.33, 18: 277.17, 19: 231.5, 20: 202.5, 21: 170.83, 22: 105.17, 23: 64.83}","{'2024-10': 3732, '2024-11': 3631, '2024-12': 3001, '2025-1': 3169, '2025-2': 3040, '2025-3': 2995}",1995.33,2011.0
593,"{'M': 4205.34, 'F': 2109.17, 'O': 193.83}","{'<20': 71.33, '20-30': 2299.67, '30-40': 2779.83, '40-50': 1006.83, '50-60': 243.17, '60-70': 99.33, '70<': 8.17}","{'0-10': 3220.33, '10-20': 1758.0, '20-30': 976.17, '30-45': 492.0, '45+': 61.83}","{'Monday': 930.67, 'Tuesday': 976.83, 'Wednesday': 980.83, 'Thursday': 1053.67, 'Friday': 1001.0, 'Saturday': 860.17, 'Sunday': 705.17}","{0: 63.0, 1: 2.5, 2: 0.0, 3: 0.17, 4: 0.17, 5: 72.17, 6: 167.83, 7: 263.17, 8: 275.0, 9: 265.0, 10: 271.17, 11: 266.83, 12: 297.0, 13: 346.83, 14: 436.83, 15: 446.5, 16: 446.83, 17: 494.83, 18: 596.5, 19: 574.5, 20: 455.83, 21: 362.17, 22: 248.0, 23: 155.5}","{'2024-10': 7046, '2024-11': 6769, '2024-12': 5926, '2025-1': 6572, '2025-2': 6102, '2025-3': 6635}",2957.5,2677.33
594,"{'M': 8693.5, 'F': 3739.67, 'O': 183.67}","{'<20': 194.33, '20-30': 5072.5, '30-40': 5049.33, '40-50': 1659.0, '50-60': 515.67, '60-70': 109.5, '70<': 16.5}","{'0-10': 5351.83, '10-20': 4854.17, '20-30': 1572.33, '30-45': 749.17, '45+': 89.33}","{'Monday': 1898.67, 'Tuesday': 1905.33, 'Wednesday': 1832.17, 'Thursday': 2025.0, 'Friday': 1905.33, 'Saturday': 1644.67, 'Sunday': 1405.67}","{0: 83.83, 1: 1.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 64.0, 6: 205.0, 7: 423.0, 8: 500.5, 9: 466.83, 10: 493.17, 11: 598.83, 12: 659.17, 13: 794.83, 14: 896.67, 15: 958.0, 16: 979.0, 17: 1022.0, 18: 1187.17, 19: 1075.5, 20: 936.0, 21: 677.83, 22: 372.33, 23: 222.0}","{'2024-10': 13190, '2024-11': 13374, '2024-12': 12574, '2025-1': 12445, '2025-2': 11365, '2025-3': 12753}",3386.33,3496.83
595,"{'M': 4266.33, 'F': 1984.17, 'O': 120.83}","{'<20': 97.17, '20-30': 2411.33, '30-40': 2559.67, '40-50': 894.5, '50-60': 333.67, '60-70': 69.17, '70<': 5.83}","{'0-10': 3536.83, '10-20': 1751.33, '20-30': 670.17, '30-45': 368.5, '45+': 44.5}","{'Monday': 938.0, 'Tuesday': 995.5, 'Wednesday': 1067.17, 'Thursday': 1064.33, 'Friday': 1082.5, 'Saturday': 703.67, 'Sunday': 520.17}","{0: 31.0, 1: 0.67, 2: 0.0, 3: 0.0, 4: 0.0, 5: 31.17, 6: 149.0, 7: 327.33, 8: 424.33, 9: 305.5, 10: 274.83, 11: 300.83, 12: 316.83, 13: 383.67, 14: 423.33, 15: 403.33, 16: 464.0, 17: 509.83, 18: 547.0, 19: 500.0, 20: 396.5, 21: 284.17, 22: 187.5, 23: 110.5}","{'2024-10': 6809, '2024-11': 6741, '2024-12': 5903, '2025-1': 6351, '2025-2': 6148, '2025-3': 6276}",2338.33,2513.5
596,"{'M': 4562.0, 'F': 1908.84, 'O': 191.66}","{'<20': 125.0, '20-30': 2426.5, '30-40': 2590.33, '40-50': 1086.17, '50-60': 332.5, '60-70': 60.17, '70<': 41.83}","{'0-10': 3701.67, '10-20': 1761.33, '20-30': 747.5, '30-45': 403.67, '45+': 48.33}","{'Monday': 976.83, 'Tuesday': 1056.67, 'Wednesday': 1049.0, 'Thursday': 1115.5, 'Friday': 1041.0, 'Saturday': 811.33, 'Sunday': 612.17}","{0: 52.17, 1: 2.5, 2: 0.0, 3: 0.17, 4: 0.17, 5: 39.0, 6: 164.0, 7: 290.83, 8: 506.33, 9: 367.5, 10: 290.5, 11: 291.17, 12: 318.5, 13: 394.67, 14: 456.83, 15: 468.17, 16: 404.67, 17: 450.5, 18: 509.33, 19: 520.0, 20: 456.17, 21: 323.33, 22: 218.83, 23: 137.17}","{'2024-10': 7932, '2024-11': 6868, '2024-12': 6030, '2025-1': 6277, '2025-2': 6354, '2025-3': 6514}",4629.5,4726.67
597,"{'M': 3341.67, 'F': 1604.0, 'O': 108.5}","{'<20': 51.33, '20-30': 1749.0, '30-40': 2117.5, '40-50': 829.83, '50-60': 214.0, '60-70': 85.67, '70<': 6.83}","{'0-10': 2115.83, '10-20': 1718.67, '20-30': 816.67, '30-45': 359.33, '45+': 43.67}","{'Monday': 698.5, 'Tuesday': 776.33, 'Wednesday': 788.33, 'Thursday': 818.83, 'Friday': 772.17, 'Saturday': 661.0, 'Sunday': 539.0}","{0: 48.33, 1: 0.83, 2: 0.0, 3: 0.0, 4: 0.0, 5: 71.5, 6: 137.0, 7: 193.0, 8: 186.5, 9: 165.83, 10: 219.0, 11: 242.83, 12: 267.33, 13: 295.0, 14: 296.67, 15: 358.0, 16: 313.33, 17: 390.0, 18: 482.67, 19: 418.0, 20: 376.0, 21: 265.33, 22: 205.0, 23: 122.0}","{'2024-10': 5379, '2024-11': 5240, '2024-12': 4697, '2025-1': 4766, '2025-2': 4880, '2025-3': 5363}",2427.0,2279.83
598,"{'M': 2094.17, 'F': 908.33, 'O': 101.5}","{'<20': 43.33, '20-30': 1154.5, '30-40': 1207.0, '40-50': 466.5, '50-60': 198.83, '60-70': 26.67, '70<': 7.17}","{'0-10': 1354.67, '10-20': 940.33, '20-30': 518.67, '30-45': 254.33, '45+': 36.0}","{'Monday': 444.83, 'Tuesday': 493.67, 'Wednesday': 499.67, 'Thursday': 531.67, 'Friday': 455.17, 'Saturday': 378.5, 'Sunday': 300.5}","{0: 48.67, 1: 1.0, 2: 0.17, 3: 0.17, 4: 0.0, 5: 9.0, 6: 72.17, 7: 112.5, 8: 140.0, 9: 127.67, 10: 111.83, 11: 123.83, 12: 141.83, 13: 170.83, 14: 202.17, 15: 211.0, 16: 219.33, 17: 247.17, 18: 284.0, 19: 288.33, 20: 221.0, 21: 166.67, 22: 101.5, 23: 103.17}","{'2024-10': 3326, '2024-11': 3255, '2024-12': 2737, '2025-1': 2989, '2025-2': 3064, '2025-3': 3253}",1648.17,1929.17
